epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,108.668,0.54612,0.54832,0.77456,0.45833,0.66667,0.63335,0.51119,0.57626,2.60581,0.84125,0.000737314,0.000737314,0.000737314
171,109.256,0.49484,0.57133,0.7362,0.29167,0.83333,0.61233,0.51649,0.51942,2.22739,0.84056,0.000731813,0.000731813,0.000731813
172,109.862,0.56546,0.57999,0.80855,0.63633,0.58333,0.70485,0.5896,0.5502,1.53868,0.84004,0.000726312,0.000726312,0.000726312
173,110.476,0.53248,0.6491,0.82032,0.57467,0.74961,0.7457,0.66382,0.58775,0.92905,0.84702,0.000720811,0.000720811,0.000720811
174,111.062,0.48406,0.4805,0.82833,0.56136,0.81159,0.77932,0.66337,0.61216,0.88383,0.8519,0.00071531,0.00071531,0.00071531
175,111.693,0.56098,0.54124,0.77763,0.58691,0.76978,0.78721,0.65482,0.6353,1.11714,0.85721,0.000709809,0.000709809,0.000709809
176,112.4,0.6013,0.50429,0.80546,0.66083,0.41667,0.44963,0.36737,0.6317,1.69281,0.85856,0.000704307,0.000704307,0.000704307
177,113.164,0.56679,0.51093,0.82689,0.42797,0.64816,0.49181,0.41581,0.57821,1.66528,0.84915,0.000698806,0.000698806,0.000698806
178,113.779,0.64804,0.5171,0.83381,0.45645,0.68034,0.70632,0.59734,0.60443,1.39737,0.84312,0.000693305,0.000693305,0.000693305
179,114.404,0.56368,0.50723,0.82171,0.56757,0.58333,0.71243,0.59495,0.63782,1.3324,0.84596,0.000687804,0.000687804,0.000687804
180,114.938,0.52025,0.46654,0.77016,0.56752,0.67013,0.76352,0.67074,0.58484,1.39954,0.83346,0.000682303,0.000682303,0.000682303
181,115.516,0.58527,0.55005,0.79472,0.60793,0.75817,0.78366,0.69918,0.59201,1.28168,0.83191,0.000676802,0.000676802,0.000676802
